Year,Asia_Temperature
195608,-0.30
195609,-0.41
195610,-0.23
195611,-0.61
195612,-0.39
195701,-0.18
195702,-1.29
195703,-1.36
195704,-0.74
195705,-0.08
195706,0.01
195707,-0.42
195708,-0.10
195709,0.22
195710,-0.20
195711,-0.05
195712,1.11
195801,0.57
195802,0.87
195803,-0.40
195804,-0.40
195805,-0.57
195806,-0.20
195807,-0.18
195808,-0.18
195809,-0.60
195810,-0.20
195811,0.23
195812,0.41
195901,0.58
195902,0.35
195903,1.24
195904,0.36
195905,-0.32
195906,0.15
195907,-0.32
195908,0.30
195909,0.51
195910,-0.15
195911,-0.92
195912,-1.08
196001,-0.38
196002,1.54
196003,-1.30
196004,-0.57
196005,-1.00
196006,0.20
196007,-0.24
196008,-0.16
196009,0.14
196010,-0.73
196011,-1.02
196012,0.76
196101,0.49
196102,0.91
196103,1.22
196104,0.35
196105,0.19
196106,-0.10
196107,0.07
196108,-0.01
196109,0.10
196110,-0.83
196111,0.15
196112,0.33
196201,1.30
196202,1.86
196203,0.98
196204,0.49
196205,0.53
196206,-0.32
196207,0.43
196208,-0.19
196209,-0.02
196210,-0.29
196211,-0.73
196212,0.59
196301,0.82
196302,2.19
196303,0.38
196304,-0.73
196305,-0.13
196306,-0.28
196307,0.09
196308,0.11
196309,0.22
196310,0.65
196311,1.09
196312,0.41
196401,0.08
196402,-1.50
196403,-0.25
196404,-0.92
196405,-0.22
196406,-0.24
196407,-0.14
196408,0.01
196409,-0.16
196410,-0.80
196411,0.18
196412,0.24
196501,0.44
196502,-0.45
196503,0.49
196504,-0.83
196505,-0.02
196506,-0.04
196507,-0.09
196508,-0.37
196509,0.08
196510,0.38
196511,-0.71
196512,-0.36
196601,0.31
196602,-0.14
196603,0.13
196604,-0.77
196605,-0.01
196606,0.08
196607,-0.07
196608,0.39
196609,0.27
196610,-0.28
196611,-0.37
196612,-1.56
196701,-0.54
196702,-0.48
196703,0.88
196704,0.58
196705,0.83
196706,-0.15
196707,0.15
196708,-0.06
196709,-0.54
196710,0.99
196711,-0.02
196712,0.25
196801,-0.41
196802,-0.41
196803,2.10
196804,0.08
196805,0.20
196806,-0.35
196807,-0.22
196808,-0.29
196809,-0.63
196810,-0.70
196811,-0.87
196812,-1.06
196901,-3.29
196902,-3.86
196903,-0.48
196904,-0.34
196905,-0.75
196906,-0.41
196907,0.06
196908,-0.49
196909,-0.40
196910,-0.15
196911,0.59
196912,0.22
197001,-0.22
197002,0.71
197003,-0.72
197004,0.46
197005,0.03
197006,-0.35
197007,0.09
197008,-0.18
197009,0.18
197010,-0.41
197011,0.00
197012,-0.18
197101,1.03
197102,-1.28
197103,-0.44
197104,-0.17
197105,-0.07
197106,-0.15
197107,-0.13
197108,-0.25
197109,0.27
197110,0.16
197111,1.90
197112,1.09
197201,-1.63
197202,-1.46
197203,0.11
197204,0.51
197205,-0.32
197206,-0.01
197207,-0.36
197208,-0.22
197209,-0.66
197210,-0.04
197211,-0.29
197212,0.55
197301,-0.30
197302,1.55
197303,0.82
197304,0.93
197305,0.13
197306,0.42
197307,-0.14
197308,0.05
197309,-0.16
197310,-0.36
197311,1.01
197312,1.16
197401,-1.05
197402,-1.51
197403,0.41
197404,0.58
197405,0.06
197406,-0.26
197407,0.30
197408,0.00
197409,0.34
197410,-0.27
197411,-0.53
197412,-0.93
197501,1.52
197502,0.42
197503,1.70
197504,1.17
197505,0.23
197506,0.31
197507,0.05
197508,-0.03
197509,0.68
197510,0.03
197511,-0.04
197512,0.52
197601,1.36
197602,-0.44
197603,-1.05
197604,0.07
197605,-0.10
197606,-0.29
197607,-0.52
197608,-0.25
197609,-0.06
197610,-1.70
197611,-1.13
197612,-0.66
197701,-2.45
197702,-1.05
197703,1.20
197704,0.97
197705,0.50
197706,0.73
197707,0.04
197708,-0.15
197709,0.17
