Year,Africa_Temperature
195904,0.24
195905,0.10
195906,0.15
195907,0.11
195908,-0.34
195909,-0.28
195910,-0.16
195911,-0.12
195912,-0.19
196001,-0.03
196002,0.51
196003,-0.28
196004,-0.31
196005,-0.28
196006,-0.01
196007,-0.29
196008,0.49
196009,0.01
196010,0.42
196011,0.04
196012,0.64
196101,0.13
196102,-0.69
196103,-0.45
196104,0.08
196105,0.62
196106,0.16
196107,-0.06
196108,-0.46
196109,-0.38
196110,-0.43
196111,-0.34
196112,-0.43
196201,-0.25
196202,-0.28
196203,0.25
196204,-0.13
196205,-0.26
196206,-0.20
196207,0.10
196208,-0.14
196209,-0.03
196210,0.17
196211,0.47
196212,0.21
196301,0.60
196302,0.88
196303,-0.38
196304,-0.32
196305,-0.80
196306,-0.05
196307,0.17
196308,0.09
196309,0.38
196310,-0.08
196311,-0.13
196312,0.33
196401,-0.09
196402,0.15
196403,1.01
196404,-0.29
196405,-0.19
196406,-0.34
196407,-0.70
196408,-0.46
196409,-0.71
196410,-0.66
196411,-0.60
196412,-0.26
196501,-0.13
196502,0.07
196503,-0.13
196504,-0.87
196505,-0.34
196506,-0.49
196507,-0.01
196508,-0.16
196509,-0.14
196510,-0.31
196511,-0.33
196512,-0.28
196601,0.73
196602,0.25
196603,-0.23
196604,-0.12
196605,-0.12
196606,0.16
196607,0.46
196608,0.41
196609,-0.13
196610,-0.01
196611,0.10
196612,-0.08
196701,-0.50
196702,-0.10
196703,-0.47
196704,-0.10
196705,-0.02
196706,-0.21
196707,-0.51
196708,-0.42
196709,-0.33
196710,-0.39
196711,-0.41
196712,-0.31
196801,-0.53
196802,-0.22
196803,-0.50
196804,-0.59
196805,-0.40
196806,-0.74
196807,-0.12
196808,0.31
196809,0.06
196810,-0.15
196811,-0.10
196812,0.36
196901,0.22
196902,1.13
196903,1.24
196904,0.07
196905,0.22
196906,0.38
196907,-0.10
196908,0.16
196909,0.14
196910,-0.04
196911,0.16
196912,0.26
197001,0.84
197002,0.54
197003,0.19
197004,0.13
197005,0.10
197006,0.23
197007,0.06
197008,0.13
197009,-0.05
197010,-0.23
197011,-0.14
197012,-0.35
197101,-0.29
197102,-0.19
197103,0.34
197104,-0.12
197105,-0.18
197106,-0.15
197107,-0.14
197108,-0.35
197109,-0.25
197110,-0.56
197111,-0.61
197112,-0.44
197201,-0.16
197202,-0.33
197203,-0.19
197204,-0.24
197205,-0.40
197206,-0.31
197207,0.39
197208,0.26
197209,0.46
197210,0.36
197211,-0.29
197212,0.25
197301,0.35
197302,0.71
197303,0.45
197304,0.42
197305,0.51
197306,0.51
197307,0.48
197308,0.12
197309,0.29
197310,0.17
197311,-0.49
197312,-0.31
197401,-0.54
197402,-0.29
197403,-0.26
197404,-0.31
197405,-0.17
197406,0.12
197407,-0.35
197408,-0.07
197409,-0.36
197410,-0.16
197411,-0.40
197412,-0.81
197501,-0.71
197502,-0.06
197503,-0.27
197504,-0.03
197505,-0.09
197506,-0.08
197507,-0.27
197508,-0.28
197509,-0.23
197510,-0.49
197511,-0.42
197512,-0.13
197601,-0.51
197602,-0.36
197603,-0.64
197604,-0.47
197605,-0.43
197606,-0.33
197607,-0.27
197608,-0.23
197609,0.02
197610,-0.19
197611,-0.33
197612,0.46
197701,0.39
197702,0.28
197703,-0.07
197704,0.04
197705,0.12
197706,0.14
197707,0.33
197708,0.27
197709,0.23
197710,0.01
197711,-0.19
197712,0.04
197801,0.25
197802,0.87
197803,0.22
197804,0.02
197805,0.08
197806,-0.26
197807,-0.30
197808,0.30
197809,-0.05
197810,-0.14
197811,-0.62
197812,0.53
197901,0.96
197902,0.63
197903,0.53
197904,0.32
197905,0.08
197906,0.03
197907,0.17
197908,0.60
197909,0.37
197910,0.52
197911,0.16
197912,-0.22
198001,0.69
198002,0.51
198003,0.47
198004,0.64
198005,0.40
198006,0.18
198007,0.11
198008,0.32
198009,0.32
198010,0.28
198011,0.32
198012,-0.26
198101,-0.30
198102,0.08
198103,0.46
198104,0.34
198105,-0.01
198106,0.16
198107,-0.02
198108,0.06
198109,-0.10
198110,0.16
198111,-0.17
198112,0.71
198201,0.44
198202,-0.13
198203,0.09
198204,0.13
198205,-0.13
198206,0.32
198207,0.44
198208,0.19
198209,0.45
198210,0.06
198211,-0.72
198212,-0.26
198301,-0.83
198302,0.71
198303,0.26
198304,0.82
198305,1.02
198306,0.57
198307,0.76
198308,0.52
198309,0.56
198310,-0.13
198311,0.61
198312,0.22
198401,-0.20
198402,0.03
198403,0.71
198404,0.56
198405,0.54
198406,0.04
198407,0.14
198408,0.58
198409,0.48
198410,0.19
198411,0.01
198412,-0.24
198501,1.04
198502,0.11
198503,0.45
198504,-0.23
198505,0.14
198506,0.37
198507,0.00
198508,0.43
198509,0.05
198510,0.06
198511,0.50
198512,-0.13
198601,-0.07
198602,0.77
198603,0.40
198604,0.59
198605,0.41
198606,0.28
198607,0.11
198608,0.62
198609,0.22
198610,0.10
198611,-0.35
198612,-0.56
198701,0.51
198702,1.06
198703,0.70
198704,0.56
198705,1.18
198706,0.40
198707,1.04
198708,0.96
198709,0.79
198710,0.38
198711,0.74
198712,1.01
198801,0.53
198802,0.77
198803,0.89
198804,0.94
198805,0.83
198806,0.56
198807,0.48
198808,0.47
198809,0.18
198810,0.01
198811,-0.08
198812,-0.58
198901,-1.03
198902,-0.96
198903,-0.26
198904,-0.01
198905,0.22
198906,0.21
198907,0.25
198908,0.49
198909,0.48
198910,0.05
198911,0.43
198912,0.63
199001,0.37
199002,0.05
199003,0.09
199004,0.70
199005,0.44
199006,0.72
199007,0.33
199008,0.54
199009,0.61
199010,0.74
199011,0.98
199012,0.98
199101,0.46
199102,0.67
199103,0.48
199104,0.40
199105,-0.01
199106,0.42
199107,0.23
199108,0.24
199109,0.45
199110,0.10
199111,-0.02
199112,-0.25
199201,-0.21
199202,0.06
199203,0.23
199204,0.40
199205,0.00
199206,0.28
199207,0.01
199208,-0.03
199209,0.19
199210,0.23
199211,-0.20
199212,0.29
199301,-0.39
199302,-0.30
199303,0.23
199304,0.33
199305,0.45
199306,0.56
199307,0.64
199308,0.54
199309,0.63
199310,0.72
199311,0.72
199312,0.56
199401,0.33
199402,-0.02
199403,0.65
199404,0.53
199405,0.68
199406,0.26
199407,0.06
199408,0.25
199409,0.28
199410,0.15
199411,0.27
199412,-0.14
199501,-0.13
199502,0.45
199503,0.64
199504,0.31
199505,0.64
199506,0.75
199507,0.68
199508,0.99
199509,0.79
199510,0.48
199511,0.34
199512,0.54
